Deal,symbol,size,price
AssetPrice,symbol,price
AssetPrice,MSFT,15.9852
AssetPrice,BTMN,15.1935
AssetPrice,APPL,16.1912
Deal,MSFT,0,17.1868
AssetPrice,ORCL,15.4994
AssetPrice,BTMN,15.263
AssetPrice,AMZN,15.797
Deal,GOOG,-2,16.2129
AssetPrice,ORCL,15.6164
AssetPrice,APPL,16.522
AssetPrice,APPL,16.8218
AssetPrice,ORCL,16.8427
Deal,GOOG,0,16.6946
AssetPrice,ORCL,15.2372
AssetPrice,MSFT,16.5992
Deal,BTMN,1,15.2504
Deal,APPL,2,16.1646
AssetPrice,BTMN,16.621
AssetPrice,GOOG,16.6641
AssetPrice,AMZN,17.1886
Deal,FORD,1,16.0279
AssetPrice,MSFT,16.3069
AssetPrice,ORCL,17.6709
AssetPrice,AMZN,16.8203
AssetPrice,AMZN,16.0706
AssetPrice,AMZN,17.4132
AssetPrice,AMZN,15.7775
Deal,MSFT,-1,17.8906
AssetPrice,BTMN,15.2925
AssetPrice,ORCL,15.6977
AssetPrice,APPL,16.9941
AssetPrice,MSFT,17.7387
AssetPrice,BTMN,17.0501
AssetPrice,MSFT,17.3016
AssetPrice,FORD,16.9962
AssetPrice,BTMN,15.6492
AssetPrice,MSFT,15.4156
AssetPrice,FORD,15.5835
AssetPrice,FORD,16.9034
AssetPrice,MSFT,17.0435
AssetPrice,BTMN,15.2494
AssetPrice,FORD,15.5433
Deal,APPL,-2,16.5221
AssetPrice,GOOG,17.011
AssetPrice,AMZN,15.4888
AssetPrice,GOOG,17.3356
AssetPrice,GOOG,16.5538
AssetPrice,APPL,15.6805
AssetPrice,MSFT,17.1504
AssetPrice,GOOG,17.3735
AssetPrice,GOOG,16.2677
Deal,FORD,3,15.9304
AssetPrice,AMZN,15.5482
AssetPrice,BTMN,16.5217
AssetPrice,ORCL,17.1384
AssetPrice,ORCL,16.9403
AssetPrice,MSFT,17.226
AssetPrice,GOOG,15.8798
AssetPrice,BTMN,15.9485
AssetPrice,AMZN,17.0808
AssetPrice,GOOG,17.1049
AssetPrice,BTMN,16.6551
AssetPrice,BTMN,15.856
AssetPrice,BTMN,15.6446
AssetPrice,APPL,15.3455
AssetPrice,MSFT,16.6258
AssetPrice,AMZN,17.9263
AssetPrice,ORCL,17.9163
AssetPrice,ORCL,15.4251
AssetPrice,FORD,16.6934
AssetPrice,BTMN,15.6294
AssetPrice,GOOG,15.0827
AssetPrice,MSFT,16.9297
AssetPrice,FORD,15.0255
AssetPrice,AMZN,17.8016
Deal,ORCL,3,15.483
AssetPrice,BTMN,16.5605
AssetPrice,APPL,17.2878
AssetPrice,ORCL,17.5725
Deal,BTMN,-4,17.6983
AssetPrice,BTMN,15.856
Deal,MSFT,-3,16.467
AssetPrice,MSFT,16.7564
AssetPrice,MSFT,16.9811
AssetPrice,AMZN,16.1283
AssetPrice,GOOG,15.7822
AssetPrice,MSFT,17.2087
AssetPrice,GOOG,16.5255
AssetPrice,APPL,17.1143
AssetPrice,AMZN,15.187
AssetPrice,MSFT,16.6471
AssetPrice,FORD,15.0758
AssetPrice,FORD,17.8419
AssetPrice,AMZN,16.9617
AssetPrice,ORCL,16.4381
AssetPrice,FORD,17.376
AssetPrice,AMZN,15.2114
AssetPrice,GOOG,15.8943
AssetPrice,ORCL,15.8473
AssetPrice,APPL,17.959
AssetPrice,GOOG,16.7908
AssetPrice,APPL,17.5523
AssetPrice,GOOG,15.2557
AssetPrice,FORD,16.7751
AssetPrice,AMZN,15.327
AssetPrice,ORCL,17.1439
Deal,ORCL,2,17.8402
AssetPrice,GOOG,17.161
AssetPrice,GOOG,16.471
Deal,GOOG,0,15.4693
AssetPrice,ORCL,16.219
Deal,BTMN,0,16.6484
AssetPrice,APPL,16.2187
AssetPrice,AMZN,16.4615
AssetPrice,BTMN,16.562
AssetPrice,APPL,16.112
AssetPrice,GOOG,16.5656
Deal,APPL,4,16.817
AssetPrice,FORD,17.6659
AssetPrice,GOOG,15.7582
AssetPrice,APPL,17.8772
AssetPrice,MSFT,16.2169
AssetPrice,BTMN,15.4942
AssetPrice,AMZN,17.4532
AssetPrice,GOOG,16.4743
AssetPrice,AMZN,16.637
AssetPrice,FORD,16.6822
Deal,AMZN,-2,16.8904
AssetPrice,GOOG,17.9318
AssetPrice,AMZN,15.2485
Deal,MSFT,-2,17.5065
AssetPrice,ORCL,17.0989
AssetPrice,BTMN,16.5944
AssetPrice,BTMN,16.4078
AssetPrice,FORD,15.8197
AssetPrice,FORD,16.7906
AssetPrice,APPL,17.8053
AssetPrice,APPL,16.237
AssetPrice,BTMN,15.4496
AssetPrice,AMZN,17.0479
AssetPrice,APPL,17.3509
AssetPrice,FORD,15.2935
AssetPrice,GOOG,15.5637
AssetPrice,MSFT,17.8509
AssetPrice,ORCL,17.6197
AssetPrice,GOOG,15.8297
AssetPrice,MSFT,16.4979
AssetPrice,GOOG,17.9446
AssetPrice,BTMN,15.9765
AssetPrice,APPL,17.1429
AssetPrice,GOOG,16.5509
AssetPrice,AMZN,16.5461
AssetPrice,GOOG,17.8512
AssetPrice,FORD,16.5143
AssetPrice,ORCL,16.2425
AssetPrice,MSFT,15.3911
AssetPrice,APPL,16.0422
AssetPrice,ORCL,17.2386
AssetPrice,ORCL,16.5373
AssetPrice,APPL,16.6207
AssetPrice,AMZN,15.7355
AssetPrice,MSFT,15.2429
AssetPrice,ORCL,15.5335
AssetPrice,AMZN,15.0081
AssetPrice,AMZN,16.7373
AssetPrice,BTMN,16.7959
AssetPrice,FORD,17.1158
AssetPrice,APPL,16.0249
AssetPrice,ORCL,17.4231
AssetPrice,GOOG,16.8063
AssetPrice,ORCL,17.0734
AssetPrice,BTMN,15.2471
AssetPrice,APPL,17.9
Deal,GOOG,3,17.2119
AssetPrice,MSFT,16.1838
AssetPrice,MSFT,15.6016
AssetPrice,ORCL,17.8848
AssetPrice,MSFT,17.9578
AssetPrice,MSFT,16.7594
AssetPrice,MSFT,17.9515
AssetPrice,ORCL,16.7972
AssetPrice,AMZN,15.0647
AssetPrice,ORCL,16.1614
AssetPrice,GOOG,16.5226
AssetPrice,GOOG,17.5666
AssetPrice,GOOG,16.2872
